WireL,WireH,NatPerch,NatPerchH,AnthroPerch,AnthroPerchH,Ditches,DitchD,DitchW,GrassW,GrassH
750,9.5,63,15,12,2,2,0.75,2.75,1,0.03
500,9,0,0,0,0,3,1.333333333,5.333333333,1.625,0.1
270,9,4,4,3,2,1,1,3.5,0,0
500,10,25,5,3,1,2,8,4.25,3,2.125
1000,10,101,9,101,1,4,1.1875,2.25,3,0.1
1000,20,23,13,101,2,0,0,0,0,0
0,0,101,12,101,9,2,2.5,3.75,1,0.2
500,10,20,8,2,0.75,3,1.366666667,4.433333333,0.625,0.03
0,0,101,8,2,0.5,2,1.75,7,0,0
850,10,0,0,101,1.5,3,1,4.333333333,3,0.01
450,10,55,12,25,2,5,0.625,1.75,2.25,0.2
250,10,30,12,8,1.5,2,0.55,1.5,1.25,0.05
500,10,101,14,101,1.5,2,0.5,1.75,1.5,0.15
500,10,101,7,3,2,2,1,3.5,4,0.1
750,10,0,0,3,2,2,0.45,3.5,1.25,0.1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
500,10,0,0,0,0,2,1,5.5,3,0.15
500,10,0,0,8,1.5,2,1.5,5.5,1.5,0.03
0,0,0,0,1,1,2,0.8,5,1.5,0.03
0,0,20,13,101,1,1,1,5,3,0.01
520,10,101,14,6,3.5,2,4,10,0,0
500,10,101,14,0,0,1,3,10,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,4,11,7,1,1,0.5,3,2,0.2
0,0,0,0,0,0,0,0,0,0,0
750,10,30,10,50,1,2,0.2,2.5,4,0.05
0,0,0,0,2,1.5,0,0,0,0,0
1000,6.5,101,6.2,4,0.8,4,0.875,3.725,4.8,0.425
500,6.5,70,6.5,0,0,3,0.733333333,4.233333333,7.3,0.15
500,6.5,26,1.4,0,0,2,0.4,2.8,5.7,0.2
0,0,4,1,2,1,3,1.166666667,5,3,0.075
500,10,0,0,1,1.1,1,0.5,2.5,1,0.01
750,10,101,10,20,2,3,0.733333333,2.5,4,0.05
200,10,101,11,8,1.5,2,6,16,6,0.15
0,0,101,12,6,1,1,8,20,4,0.1
0,0,5,6,5,1.5,3,1.4,5,4,0.15
500,9,101,10,0,0,2,0.5,1.25,0.5,0.025
0,0,0,0,2,2,0,0,0,0,0
750,9,24,10,9,2,2,0.45,2,1.5,0.1
0,0,101,10,6,2,3,0.333333333,1.333333333,1,0.15
500,9,39,5,4,1,3,2.666666667,7,3.5,0.1
0,0,34,4,3,0.5,2,0.75,2,0.625,0.2
0,0,101,18,40,1,0,0,0,0,0
0,0,101,14,101,1,3,1.666666667,4.5,0,0
1000,9,101,15,101,1,0,0,0,0,0
500,7,101,10,35,2,3,1.266666667,4.666666667,1,0.3
500,7,101,14,101,1.5,2,1.5,3.5,0.5,0.025
1000,10,101,15,101,1,1,0.1,3,1,0.05
270,10,101,15,101,1,1,0.3,2.5,2,0.1
1000,10,101,12,38,1,2,0.75,4,1,0.05
500,10,101,15,101,1,4,0.35,2,1.5,0.01
1300,8,101,12,101,0.6,2,0.25,0.7,1.45,0.135
310,14,20,17,10,6,2,0.5,1.9,8.1,0.06
740,11,1,22,3,2.6,3,1,3.966666667,6.5,0.11
550,9.5,7,10,13,2,3,3.566666667,9.166666667,4,0.1
300,10,27,12,101,1,2,8.5,16.5,2,0.05
500,10,0,0,4,1,2,0.65,2.75,1.25,0.105
0,0,0,0,1,1,1,3,10,0,0
550,10,101,10,101,1,2,1,2.75,0.25,0
800,10,101,15,50,2,5,0.95,2.5,1,0.055
500,10,0,0,3,1,2,0.45,2.75,2,0.1
600,9,0,0,3,0.5,2,1.25,4.25,1.5,0.1
500,9,1,11,0,0,2,1,3.75,2,0.175
750,10,0,0,4,1.5,3,0.7,3,1,0.25
800,7,0,0,5,1.2,1,0.3,0.6,5.25,0.225
550,5.5,101,1.8,14,1.6,1,0.1,0.3,2.55,0.23
540,5.5,42,9,101,2.5,0,0,0,1.3,0.05
0,0,88,12,6,2.5,0,0,0,0,0
0,0,101,8,4,4,1,0.1,0.4,4.4,1.2
0,0,101,12,0,0,1,0.3,0.8,1.5,0.15
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1000,8.5,2,1.5,14,1.4,4,0.7,2.175,2,0.075
850,7,66,18,54,1.4,2,0.3,1.6,3,0.14
0,0,0,0,8,4,2,0.2,1.45,1.55,0.115
540,6.5,101,10,65,4,2,0.35,0.9,1.5,0.08
750,9,14,17,8,2.5,3,0.4,1.966666667,2.4,0.315
850,11.5,101,11,69,0.8,3,0.266666667,1.433333333,2.9,0.24
800,11.5,101,16,56,4,2,0.2,0.8,4.2,0.85
500,11.5,101,12,14,1.6,3,3.233333333,8.7,5.4,0.765
1250,11,0,0,9,1.5,3,0.366666667,2,0.5,0.025
1100,11,80,7,19,1.5,1,0.1,0.5,2,0.01
600,13,101,7,101,1,2,0.5,2.5,0,0
500,10,26,13,12,1,3,0.283333333,3.933333333,0.5,0.05
1000,10,101,12,101,2,7,0.35,2,1.5,0.1
250,9,101,15,7,1,2,1.25,3.75,1,0.05
600,9,23,10,15,2,3,0.733333333,1.833333333,0.75,0.075
500,9,101,12,101,2,2,0.075,1,0.25,0.05
350,10,35,14,75,2,2,0.3,1.5,0.5,0.005
560,10,101,14,35,4,1,1,1.5,1.25,0.15
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1000,10,15,14,3,0.5,1,1,2.5,3,0.2
500,10,101,14,101,2,0,0,0,0,0
200,10,101,12,8,1,2,0.55,1,1,0.025
520,10,101,10,4,0.5,3,2.166666667,3.166666667,1,0.075
500,10,0,0,2,3,2,0.375,1.25,1.5,0.105
520,10,0,0,0,0,2,1.05,1.75,2.5,0.325
1000,10,0,0,6,1,2,0.5,5,8.5,0.1
200,10,2,1.5,0,0,1,0.5,1,1,0.2
0,0,0,0,2,0.5,2,1.25,2.25,2.25,0.175
250,10,101,11,1,0.75,2,3.5,7,3,6
620,10,101,12,101,1,2,6.75,15,13,0.7
700,10,30,11,101,2,2,0.55,1.625,3,0.2
500,9,75,6,101,1,2,0.35,3,2,0.1
500,9,101,14,101,0.5,4,0.75,3.875,3,0.15
0,0,0,0,0,0,3,1,4.333333333,2,0.125
500,10,82,10,2,2,1,4,10,4,1
600,10,101,12,12,3,1,4,10,4,1
520,10,101,13,5,1.5,1,4,10,4,1
500,10,8,2,5,1.5,2,0.9,2.5,2,0.1
0,0,0,0,6,1.5,1,1.5,4,2.5,0.2
600,10,101,8,3,2.5,3,3.333333333,8.833333333,2,0.15
500,10,0,0,12,0.8,1,1,4,2,0.2
1000,10,27,7,50,2,2,2,4.25,1,0.35
500,10,101,10,0,0,3,1,2,2.5,0.65
1000,10,10,3,10,2,4,1.25,2.875,3.5,0.45
520,10,0,0,6,2,2,0.55,2,0.5,0.005
500,10,11,13,101,3,1,0.5,2,1,0.01
500,10,3,4,2,2,2,2,3.75,1.5,0.15
1000,10,101,12,101,4,1,0.6,3,2,0.5
600,10,101,10,5,1,2,1.25,4,2,0.75
500,10,101,10,0,0,2,1.6,4,2,0.75
